 Length  MFlop/s:1          2      
      64      337.11    1795.23
      76      336.40    2090.04
      91      335.66    2275.04
     109      335.05    2233.64
     130      335.79    2586.38
     156      335.79    1398.05
     187      335.43    2464.50
     224      337.65    2659.57
     268      336.64    2485.93
     321      336.01    2682.47
     385      335.83    2681.08
     462      335.83    2533.30
     554      338.41    2786.94
     664      335.20    2956.01
     796      337.68    2834.92
     955      332.06    2765.18
    1146      337.68    2719.83
    1375      337.63    2610.65
    1650      337.62    2506.20
    1980      337.59    2837.19
    2376      334.80    2885.27
    2851      337.57    2472.88
    3421      337.54    2354.95
    4105      334.71    2108.81
    4926      337.45    2409.99
    5911      331.89    2471.61
    7093      334.62    2492.21
    8511      337.29    2431.24
   10213      337.20    2279.09
   12255      337.01    2170.30
   14706      337.01    2050.50
   17647      336.76    1937.28
   21176      336.70    1953.17
   25411      336.70    1788.86
   30493      336.44    1730.72
   36591      336.03    1730.14
   43909      338.73    1730.01
   52690      338.09    1744.53
   63228      337.22    1744.04
   75873      336.37    1729.40
   91047      338.17    1742.90
  109256      339.70    1757.28
  131107      338.69    1728.03
  157328      335.46    1757.27
  188793      336.34    1726.99
  226551      336.05    1725.56
  271861      338.11    1721.79
  326233      337.11    1718.16
  391479      335.55    1687.85
