 Length  MFlop/s:1          2      
      64      920.33    2969.84
      76      920.72    2798.95
      91      928.76    2726.91
     109      930.94    2806.10
     130      932.24    2961.70
     156      925.30    3539.88
     187      934.43    2655.39
     224      933.54    4130.90
     268      931.54    3693.81
     321      937.61    3475.49
     385      935.56    3646.92
     462      931.67    3766.17
     554      927.89    3940.79
     664      932.22    4282.18
     796      923.57    3998.02
     955      931.13    3809.85
    1146      931.12    3848.32
    1375      931.74    3621.42
    1650      933.28    3435.31
    1980      937.18    3849.08
    2376      936.39    3703.97
    2851      937.10    3284.87
    3421      936.23    2992.87
    4105      936.93    2907.87
    4926      934.59    2919.98
    5911      925.28    3002.40
    7093      898.94    2992.26
    8511      901.01    2840.55
   10213      891.30    2547.45
   12255      882.32    2338.67
   14706      885.07    2243.16
   17647      886.47    2081.61
   21176      883.27    1968.08
   25411      885.25    1875.45
   30493      888.51    1822.17
   36591      886.46    1805.08
   43909      888.45    1804.66
   52690      885.61    1797.14
   63228      880.06    1804.25
   75873      886.25    1801.75
   91047      886.93    1801.21
  109256      883.11    1816.04
  131107      869.74    1790.47
  157328      886.39    1804.84
  188793      882.71    1799.97
  226551      884.19    1778.04
  271861      882.81    1776.16
  326233      875.00    1781.44
  391479      785.89    1769.43
