 Length  MFlop/s:1          2      
      64      334.60     342.38
      76      336.72     341.66
      91      335.98     340.91
     109      335.37     343.15
     130      333.31     343.91
     156      333.31     341.07
     187      335.75     343.56
     224      335.15     340.12
     268      334.15     341.95
     321      333.52     344.18
     385      333.35     344.00
     462      333.34     343.99
     554      333.09     343.74
     664      335.48     340.48
     796      335.14     342.99
     955      332.29     342.91
    1146      335.07     342.90
    1375      335.02     337.21
    1650      329.51     340.04
    1980      332.27     340.03
    2376      335.04     340.01
    2851      334.99     342.79
    3421      334.97     342.73
    4105      334.90     339.87
    4926      334.89     339.81
    5911      334.86     342.64
    7093      332.02     342.59
    8511      334.72     345.30
   10213      334.65     342.35
   12255      334.56     342.32
   14706      334.56     342.16
   17647      334.41     342.06
   21176      334.23     344.87
   25411      331.39     344.74
   30493      334.14     341.72
   36591      336.39     341.52
   43909      333.13     341.03
   52690      335.62     340.73
   63228      335.11     343.24
   75873      332.34     342.69
   91047      335.11     341.43
  109256      332.28     343.38
  131107      332.14     343.06
  157328      333.17     343.74
  188793      333.16     342.97
  226551      335.07     342.68
  271861      333.54     342.68
  326233      334.46     339.71
  391479      330.01     339.28
