 Length  MFlop/s:1          2          3          4          5          6          7 
      64     4812.03    6095.24    2895.93    7032.97    1191.81    1720.43    1138.79
      76     5204.27    6946.35    3232.06    6823.24    1382.10    1581.28    1368.74
      91     4860.71    5429.07    3543.93    5810.76    1436.53    1756.37    1432.59
     109     5741.78    6313.55    4073.82    6744.33    1348.49    1625.80    1344.80
     130     5316.77    5636.17    4269.50    5940.69    1393.67    1657.29    1404.45
     156     6563.91    6285.69    4824.29    6264.35    1451.74    1688.24    1462.97
     187     5533.24    5589.59    4482.92    5884.94    1505.39    1706.35    1514.41
     224     6695.01    6931.21    5524.60    7483.38    1549.18    1729.24    1555.79
     268     5846.79    5923.36    4881.68    5953.01    1595.08    1741.51    1596.39
     321     6557.17    7123.26    5743.70    7187.78    1627.36    1755.82    1631.48
     385     6653.56    6901.03    5432.85    7031.70    1659.71    1769.65    1658.27
     462     5976.25    6116.12    5141.50    6213.57    1679.30    1778.55    1686.38
     554     5589.96    5667.74    5095.33    5740.30    1706.53    1789.19    1710.82
     664     6907.09    7135.61    6321.98    7242.18    1718.80    1796.01    1726.02
     796     6699.18    6909.63    6181.69    6836.13    1731.50    1800.21    1744.64
     955     5692.16    5981.11    5312.66    6138.95    1734.02    1802.84    1755.98
    1146     3550.20    3567.26    3468.55    3604.08    1763.41    1805.84    1767.77
    1375     3251.62    3262.26    3176.83    3295.93    1766.10    1808.59    1779.37
    1650     3515.26    3558.83    3484.64    3582.53    1780.94    1811.61    1788.31
    1980     4440.33    4592.03    4545.18    4672.86    1789.88    1817.66    1794.28
    2376     4569.80    4685.75    4653.76    4800.88    1795.86    1817.66    1800.28
    2851     3510.48    3549.55    3498.82    3555.95    1798.73    1817.52    1803.16
    3421     4050.32    4071.91    4036.86    4118.62    1801.62    1823.48    1806.06
    4105     2941.97    2950.50    2921.58    2959.34    1582.59    1597.13    1584.18
    4926     3495.41    3519.48    3491.93    3523.01    1808.68    1825.28    1813.93
    5911     3542.53    3554.90    3533.02    3564.46    1811.63    1828.27    1813.87
    7093     4765.57    4803.78    4795.80    4849.46    1814.60    1825.16    1819.86
    8511     3508.14    3519.00    3500.32    3522.36    1817.49    1825.01    1819.71
   10213     4667.05    4681.49    4646.33    4685.93    1820.47    1828.01    1819.65
   12255     3474.03    3480.48    3467.22    3492.45    1817.33    1830.97    1819.54
   14706     3556.99    3557.55    3537.94    3557.65    1820.35    1830.95    1819.52
   17647     3214.09    3214.57    3201.69    3219.53    1820.29    1830.88    1822.50
   21176     3208.67    3209.10    3196.27    3208.76    1823.26    1830.81    1822.41
   25411     3017.54    3022.67    3015.28    3022.35    1796.29    1803.72    1798.33
   30493     2518.07    2515.31    2516.20    2564.86    1746.75    1768.30    1743.08
   36591     2019.74    2081.60    2037.34    2082.37    1679.43    1722.27    1689.45
   43909     1771.64    1789.32    1766.39    1795.10    1614.78    1640.25    1619.16
   52690     1540.38    1549.07    1535.95    1551.85    1470.04    1486.46    1474.04
   63228     1476.26    1479.82    1469.67    1482.64    1436.33    1447.67    1440.24
   75873     1437.89    1446.04    1440.84    1444.05    1431.50    1442.85    1435.29
   91047     1428.11    1431.51    1428.76    1429.71    1426.50    1435.61    1428.06
  109256     1427.98    1433.64    1431.09    1434.21    1428.54    1435.26    1430.36
  131107     1427.76    1433.44    1430.81    1433.87    1395.63    1407.04    1399.62
  157328     1432.26    1433.26    1433.02    1436.18    1431.28    1438.20    1432.60
  188793     1434.07    1432.94    1432.94    1436.09    1428.67    1437.97    1429.93
  226551     1428.55    1430.17    1427.80    1430.81    1428.03    1433.07    1429.54
  271861     1428.18    1432.38    1429.65    1432.38    1370.18    1377.60    1371.92
  326233     1430.20    1434.55    1428.90    1434.55    1429.75    1434.07    1428.40
  391479     1433.68    1431.73    1429.98    1434.12    1431.28    1435.21    1432.37
  469774     1430.43    1433.63    1432.07    1432.81    1433.63    1439.17    1433.63
  563728     1444.43    1441.48    1441.48    1446.33    1331.97    1333.08    1327.85
  676473     1435.96    1436.10    1436.10    1435.83    1425.43    1427.84    1430.81
  811767     1438.92    1443.75    1441.33    1441.33    1440.10    1437.99    1440.72
  974120     1424.21    1425.07    1426.56    1424.21    1436.06    1442.42    1438.45
 1168944     1374.12    1369.71    1371.26    1371.91    1329.74    1328.75    1331.30
 1402732     1286.39    1286.02    1286.39    1290.43    1278.90    1283.01    1278.90
 1683278     1217.92    1210.27    1208.37    1208.37    1186.66    1180.88    1181.16
 2019933     1134.44    1135.22    1135.22    1133.44    1116.20    1115.10    1113.35
 2423919     1077.30    1075.59    1073.89    1075.59    1066.99    1068.69    1062.65
 2908702     1023.35    1022.23    1018.97    1020.60     986.00     981.46     980.06
 3490442      995.63     995.63     994.00     992.38     985.54     985.54     982.23
 4188530      959.31     960.86     959.31     959.31     959.73     961.30     959.73
 5026236      937.79     936.26     934.73     934.73     893.90     895.30     893.90
 6031483      914.16     915.67     912.66     914.16     878.76     880.22     881.68
 7237779      904.72     909.33     907.79     907.79     864.21     867.09     868.53
 8685334      887.13     893.02     891.54     893.02     846.64     852.37     853.81
10422400      869.98     881.76     880.27     880.27     831.02     843.63     843.63
12506880      855.17     871.13     871.13     871.13     820.83     836.58     836.58
15008256      857.61     873.77     872.27     872.27     820.96     836.70     836.70
