 Length  MFlop/s:1          2          3          4          5          6          7 
      64     5802.36    6772.49    6639.00    6432.16    6652.81    7628.13     668.83
      76     5958.40    7026.32    6545.85    6884.97    6666.84    7584.06     671.94
      91     5071.37    6673.88    6286.32    6526.16    6202.54    7084.50     674.51
     109     5685.60    7287.14    6870.23    7096.09    6896.97    7746.79     677.00
     130     6884.26    7501.36    7239.66    7360.61    7260.14    7985.56     677.83
     156     6630.11    7254.70    7213.22    7272.13    7755.18    8309.63     654.17
     187     6746.71    7731.46    7483.65    7784.63    7427.51    8034.28     676.82
     224     7847.76    8313.48    8285.00    8198.44    8270.24    8656.19     668.81
     268     7467.22    7690.18    7460.80    7705.30    7406.25    7477.63     670.40
     321     8079.44    8492.53    8351.64    8283.17    8353.03    8690.48     670.94
     385     8248.47    8588.32    8474.42    8442.09    8475.83    8761.91     676.11
     462     7968.25    8566.90    8442.06    8544.62    8423.88    8753.15     676.00
     554     8154.12    8666.16    7795.44    8223.23    8331.71    8023.40     676.86
     664     8553.45    8614.09    8609.72    8669.95    8787.42    8994.09     675.48
     796     8517.88    8683.59    8696.74    8716.45    8844.93    8976.09     677.17
     955     8248.04    8532.46    8430.75    8568.95    8427.33    8873.64     679.30
    1146     4721.26    4866.88    4841.08    4865.49    4763.00    4893.10     681.23
    1375     4345.41    4471.21    4372.52    4431.26    4570.35    4670.53     679.65
    1650     4689.29    4700.76    4706.69    4772.49    4840.61    4885.49     681.70
    1980     4670.61    4692.16    4659.32    4662.15    4544.46    4684.82     683.52
    2376     4664.39    4654.14    4797.65    4802.21    4784.48    4815.64     683.63
    2851     4678.09    4699.24    4735.75    4827.62    4837.35    4872.96     676.70
    3421     4299.45    4378.59    4372.54    4377.87    4516.40    4547.53     683.83
    4105     3512.93    3621.99    3525.11    3528.93    3719.56    3724.24     680.62
    4926     4695.36    4735.64    4789.55    4840.77    4753.43    4772.62     682.09
    5911     4717.99    4666.24    4744.32    4746.46    4842.02    4858.27     682.39
    7093     4799.43    4803.82    4813.98    4871.34    4918.10    4934.60     683.05
    8511     4663.82    4720.08    4782.54    4831.53    4866.64    4879.76     682.98
   10213     4800.51    4789.42    4865.97    4870.39    4877.91    4891.05     677.64
   12255     4771.61    4801.18    4802.49    4813.18    4769.54    4811.42     681.67
   14706     4849.19    4863.58    4828.24    4861.79    4841.31    4821.86     684.48
   17647     4640.29    4620.92    4626.15    4643.45    4884.36    4890.21     683.38
   21176     4632.43    4626.98    4639.96    4627.91    4728.98    4738.47     685.41
   25411     4139.10    4136.10    4137.21    4075.61    4749.48    4751.85     683.97
   30493     3421.15    3426.26    3422.38    3384.49    3108.24    3167.11     667.71
   36591     2556.49    2588.04    2586.40    2616.82    2581.89    2635.83     679.21
   43909     1789.56    1819.76    1817.88    1830.49    1813.10    1819.61     668.98
   52690     1570.22    1604.79    1604.89    1612.50    1617.12    1618.83     665.48
   63228     1463.34    1503.02    1503.96    1506.84    1466.40    1469.26     672.09
   75873     1389.66    1432.37    1432.42    1435.30    1432.94    1435.42     674.34
   91047     1387.30    1432.41    1431.93    1434.73    1431.11    1434.25     675.74
  109256     1389.04    1432.35    1432.10    1434.05    1431.37    1433.93     676.69
  131107     1390.25    1430.69    1431.93    1433.87    1430.54    1433.16     667.83
  157328     1393.45    1432.31    1432.40    1435.22    1431.07    1434.17     677.99
  188793     1392.36    1431.68    1431.36    1433.63    1431.53    1433.09     675.52
  226551     1389.69    1428.43    1428.67    1430.93    1427.95    1430.65     673.66
  271861     1388.52    1429.13    1429.13    1431.61    1429.65    1431.90     642.57
  326233     1390.82    1430.09    1429.85    1432.27    1429.38    1431.55     670.77
  391479     1386.52    1430.57    1431.04    1433.42    1430.33    1432.22     673.88
  469774     1390.70    1432.07    1432.07    1434.72    1430.63    1432.68     673.23
  563728     1395.41    1433.78    1434.50    1436.38    1439.10    1443.42     653.65
  676473     1399.60    1440.27    1442.78    1444.81    1448.53    1454.29     677.88
  811767     1394.30    1431.66    1434.83    1434.83    1442.36    1448.24     675.46
  974120     1381.02    1410.37    1414.28    1414.74    1439.78    1445.30     679.69
 1168944     1333.57    1361.69    1360.85    1366.59    1378.30    1381.60     676.30
 1402732     1252.83    1280.41    1277.81    1280.39    1294.63    1297.60     669.41
 1683278     1172.48    1199.71    1201.40    1200.09    1231.01    1233.42     662.84
 2019933     1120.40    1141.06    1138.89    1138.89    1175.47    1176.29     670.80
 2423919     1072.12    1085.68    1087.48    1087.13    1111.01    1109.96     655.01
 2908702     1018.65    1038.32    1038.49    1038.33    1049.34    1046.36     639.38
 3490442      995.63    1011.72    1011.23    1010.41    1027.94    1026.60     647.27
 4188530      963.50     980.09     978.98     978.66     993.87     993.38     644.93
 5026236      937.64     955.34     955.18     955.34     953.84     953.53     614.73
 6031483      918.40     936.04     934.81     934.81     933.88     935.73     620.74
 7237779      902.05     918.47     917.55     917.09     913.74     918.47     617.03
 8685334      891.25     906.24     905.64     905.18     895.69     903.36     614.84
10422400      872.90     891.10     890.22     889.78     877.60     889.20     613.19
12506880      870.20     886.71     885.82     885.52     868.10     884.92     609.56
15008256      868.71     885.75     885.60     885.29     870.04     885.14     610.71
