 Length  MFlop/s:1          2          3          4          5          6          7 
      64     2044.73    2140.47    1916.17    2261.48    1893.49    1882.35    1893.49
      76     2054.24    2154.07    1931.62    2252.95    1941.73    1910.51    1918.53
      91     2091.57    2189.49    1946.85    2240.54    1963.65    1945.22    1966.77
     109     2112.38    2196.46    1972.88    2247.67    1993.28    1954.69    1993.07
     130     2149.62    2212.53    1964.09    2267.94    2004.47    1959.06    2000.88
     156     2167.68    2208.85    1983.93    2267.94    2017.92    1845.27    1869.99
     187     2187.24    2240.09    1991.76    2265.52    2029.29    1989.17    2026.75
     224     2212.85    2243.57    2001.56    2280.49    2039.27    1988.94    2029.90
     268     2217.35    2248.14    2005.63    2277.49    2046.85    1996.33    2040.87
     321     2224.33    2251.45    1959.43    2280.85    1980.32    1937.70    1980.93
     385     2238.10    2265.38    1974.87    2279.66    1999.28    1952.97    1996.54
     462     2245.58    2261.61    1978.17    2287.29    2019.48    1972.69    2016.71
     554     2259.02    2267.53    1983.35    2285.64    2021.39    1977.86    2028.78
     664     2230.28    2238.69    1997.61    2241.79    2035.92    1985.41    2033.11
     796     2242.99    2243.92    2005.63    2254.56    2047.53    1993.38    2044.70
     955     2242.52    2243.44    2008.56    2265.42    2043.69    1996.29    2044.27
    1146     1798.81    1801.96    2008.56    1819.61    2047.10    1996.29    2044.27
    1375     1801.55    1807.72    2011.61    1816.32    2053.65    1999.33    2050.81
    1650     1792.59    1798.73    2018.34    1807.28    2060.51    2006.01    2057.67
    1980     1813.75    1819.96    2021.70    1822.47    2063.95    2012.72    2061.10
    2376     1810.73    1813.91    2025.07    1819.43    2067.39    2012.72    2067.99
    2851     1819.69    1825.95    2024.92    1828.44    2070.69    2019.30    2067.84
    3421     1828.73    1831.94    2024.80    1834.45    2077.49    2019.18    2074.62
    4105     1549.68    1552.41    1652.81    1552.34    1650.90    1648.22    1648.62
    4926     1830.32    1829.94    2027.98    1833.46    2080.95    2022.34    2082.46
    5911     1821.14    1820.76    2027.91    1824.27    2077.41    2025.63    2075.47
    7093     1836.38    1836.00    2024.47    1836.44    2066.99    2025.55    2065.06
    8511     1821.07    1820.68    2027.69    1821.13    2084.21    2025.39    2082.26
   10213     1827.10    1829.79    2017.53    1830.23    2039.97    2015.26    2034.72
   12255     1788.23    1793.80    2024.17    1794.24    2046.67    2021.87    2044.84
   14706     1834.05    1833.52    2030.90    1833.97    2088.40    2028.59    2086.55
   17647     1806.89    1806.37    2017.43    1812.79    2088.35    2005.13    2086.52
   21176     1809.82    1809.33    2020.73    1812.74    2088.31    2015.16    2089.95
   25411     1704.65    1709.54    1918.37    1710.05    2071.02    2025.22    2069.19
   30493     1679.37    1681.41    1874.57    1690.23    1772.60    1818.99    1833.81
   36591     1374.58    1374.41    1570.76    1428.29    1539.05    1588.59    1587.62
   43909     1360.89    1356.27    1527.35    1373.28    1463.40    1479.95    1467.74
   52690     1291.91    1289.61    1401.20    1295.38    1374.06    1383.07    1375.87
   63228     1287.46    1287.28    1391.85    1288.89    1360.34    1373.85    1369.00
   75873     1272.47    1268.04    1377.98    1280.29    1371.58    1383.03    1380.25
   91047     1276.49    1274.35    1380.14    1282.26    1364.65    1369.31    1364.06
  109256     1278.61    1276.42    1382.21    1281.94    1366.89    1371.26    1366.16
  131107     1278.29    1273.98    1384.17    1281.79    1366.57    1368.66    1366.13
  157328     1278.03    1273.83    1379.36    1283.84    1363.86    1365.95    1363.33
  188793     1288.23    1284.43    1390.40    1294.58    1370.57    1372.47    1369.94
  226551     1287.56    1283.79    1392.59    1292.21    1372.17    1369.86    1367.60
  271861     1293.28    1289.63    1394.25    1297.83    1374.28    1383.10    1367.46
  326233     1282.28    1290.77    1384.87    1288.73    1368.88    1382.14    1364.64
  391479     1298.76    1303.61    1398.52    1298.79    1385.03    1398.23    1379.75
  469774     1293.83    1294.21    1386.80    1287.41    1375.10    1387.54    1370.43
  563728     1286.38    1286.38    1375.31    1282.90    1369.05    1379.87    1365.31
  676473     1285.30    1287.44    1364.15    1278.66    1337.52    1339.79    1326.63
  811767     1199.34    1204.97    1266.66    1199.23    1366.31    1369.08    1369.25
  974120     1230.99    1231.34    1301.05    1226.79    1302.96    1303.99    1299.86
 1168944     1183.98    1185.83    1237.71    1170.81    1229.69    1227.76    1227.94
 1402732     1148.52    1148.52    1200.39    1140.43    1191.30    1189.37    1185.53
 1683278     1090.12    1088.40    1123.94    1089.97    1111.70    1109.91    1109.91
 2019933     1039.01    1037.35    1069.57    1037.35    1075.13    1066.89    1056.68
 2423919     1002.46    1000.84    1025.50    1000.84    1029.97    1028.80    1028.09
 2908702      964.88     964.88     983.62     963.33     975.70     974.16     975.70
 3490442      935.35     935.35     950.40     933.82     948.30     948.30     948.30
 4188530      916.89     918.42     932.31     916.89     927.71     926.18     927.71
 5026236      898.73     898.73     913.86     898.73     912.35     910.85     912.35
 6031483      875.86     878.76     889.89     878.76     894.29     897.25     894.29
 7237779      868.53     872.90     883.25     872.90     878.03     882.37     880.91
 8685334      851.50     857.11     868.53     858.52     862.78     867.09     868.53
10422400      836.58     847.92     857.11     847.92     847.92     858.10     858.52
12506880      826.90     840.80     849.36     839.39     836.58     852.26     850.81
15008256      828.04     842.57     850.03     842.57     836.70     854.74     851.89
