 Length  MFlop/s:1          2          3          4          5          6          7 
      64     6484.03    6493.37    7307.85    7308.52     872.05    6974.34     869.22
      76     6835.39    6806.44    7103.45    7332.05     864.19    5359.60     855.46
      91     6071.61    6041.47    6133.41    6510.12     955.98    5878.47     952.82
     109     6472.81    6439.53    7084.56    7106.77     936.55    5419.14     941.03
     130     6234.65    6248.36    6452.74    6454.78    1048.05    6538.58    1043.70
     156     7045.92    7041.85    7364.25    7365.67    1064.01    6989.77    1057.04
     187     5950.75    5961.21    6002.84    6002.24    1122.78    6740.27    1120.13
     224     6977.86    6976.54    7173.92    7172.70    1166.75    8210.19    1165.95
     268     6434.11    6394.60    6306.54    6306.17    1164.47    5038.65    1160.01
     321     7078.32    6999.24    7498.84    7498.46    1202.03    8883.11    1201.51
     385     7001.88    6886.90    7309.28    7309.76    1225.63    8270.67    1225.29
     462     6158.70    6136.46    6209.30    6209.22    1222.53    7784.34    1220.16
     554     5834.57    5828.64    5844.14    5844.06    1263.30    7002.38    1266.83
     664     7262.41    7261.52    7368.37    7371.45    1280.93    8787.67    1280.37
     796     6864.42    6847.38    6810.25    6811.21    1258.27    7776.28    1253.59
     955     6230.61    6232.36    6253.55    6255.15    1266.01    7812.60    1261.43
    1146     3701.60    3744.52    3760.06    3761.73    1261.69    3565.03    1263.18
    1375     3577.21    3593.63    3609.44    3609.02    1251.75    3009.95    1253.23
    1650     3742.79    3743.68    3798.33    3798.60    1286.14    2869.83    1284.67
    1980     4537.60    4541.84    4615.79    4662.09    1272.65    3899.69    1272.18
    2376     4595.47    4733.80    4796.07    4800.85    1275.51    2993.55    1278.31
    2851     3768.07    3766.95    3778.26    3783.95    1300.11    3010.37    1300.88
    3421     4172.61    4178.98    4190.91    4192.45    1286.53    3793.65    1287.21
    4105     3115.27    3114.97    3124.67    3124.49    1121.70    2761.20    1122.07
    4926     3767.48    3772.05    3780.69    3783.16    1283.24    2995.32    1285.17
    5911     3673.09    3675.99    3685.43    3690.25    1289.63    3062.14    1292.15
    7093     4648.32    4649.61    4650.50    4652.85    1295.88    3958.44    1296.71
    8511     3774.65    3771.01    3776.96    3808.60    1291.26    2975.78    1290.28
   10213     4629.41    4646.05    4665.80    4777.01    1279.82    3887.29    1281.81
   12255     3728.73    3735.83    3758.04    3770.87    1276.80    3025.14    1282.30
   14706     3786.90    3792.51    3791.14    3794.77    1303.22    2983.77    1306.02
   17647     4256.73    4241.83    4268.04    4267.94    1287.41    2941.00    1288.85
   21176     3632.60    3632.94    3648.49    3651.66    1268.66    2681.74    1272.11
   25411     3550.72    3575.65    3592.28    3592.38    1259.51    2638.57    1259.76
   30493     3094.98    3284.87    3287.67    3289.22    1262.36    2956.00    1261.28
   36591     2250.59    2427.25    2428.68    2429.07    1231.91    1831.58    1231.71
   43909     1858.32    1899.87    1901.76    1901.70    1198.31    1866.37    1228.13
   52690     1564.88    1569.54    1574.90    1574.03    1134.69    1284.42    1171.72
   63228     1464.28    1468.41    1471.31    1471.07    1115.27    1465.13    1147.27
   75873     1433.01    1435.79    1438.24    1438.31    1137.01    1223.69    1159.57
   91047     1431.57    1434.40    1437.35    1437.26    1165.04    1203.87    1182.94
  109256     1431.59    1434.66    1437.38    1437.26    1103.05    1178.98    1133.73
  131107     1432.16    1434.98    1437.32    1437.25    1162.67    1167.64    1170.01
  157328     1432.48    1434.76    1437.37    1437.30    1116.46    1177.90    1149.90
  188793     1431.78    1434.31    1436.79    1436.77    1149.14    1436.27    1172.69
  226551     1428.76    1431.74    1434.08    1434.00    1169.59    1230.64    1192.29
  271861     1428.91    1431.83    1434.11    1433.95    1136.06    1271.21    1146.06
  326233     1427.41    1430.32    1432.36    1432.30    1162.22    1434.34    1182.88
  391479     1427.43    1429.92    1431.99    1432.24    1163.56    1433.71    1164.62
  469774     1422.70    1422.08    1432.39    1433.38     835.88    1426.74     847.92
  563728     1404.90    1428.28    1435.90    1435.79    1191.28    1436.23    1196.76
  676473     1411.64    1414.62    1417.60    1417.38    1091.35    1451.35    1092.25
  811767     1386.86    1392.24    1395.98    1395.01    1125.24    1417.48    1134.60
  974120     1389.77    1399.34    1403.17    1402.85    1136.80    1436.02    1140.47
 1168944     1278.75    1283.93    1286.92    1287.23    1085.71    1327.07    1084.69
 1402732     1248.11    1246.05    1247.71    1247.68    1104.54     971.88    1109.16
 1683278     1204.77    1210.93    1208.58    1208.66     998.77     974.14    1006.03
 2019933     1110.45    1112.87    1111.82    1112.95    1012.77     901.51    1017.62
 2423919     1074.22    1074.72    1074.27    1072.14     969.89     895.47     968.41
 2908702     1036.89    1039.61    1038.24    1037.48     950.66     868.05     951.92
 3490442      997.05     999.65    1000.14     999.88     907.91     797.73     913.21
 4188530      959.76     968.03     948.98     949.21     911.59     754.48     919.83
 5026236      932.45     934.84     934.91     935.01     865.06     732.06     868.39
 6031483      930.31     932.35     931.92     931.96     868.10     725.36     870.96
 7237779      914.99     916.34     915.37     915.22     860.31     701.87     862.91
 8685334      897.35     898.60     898.26     897.15     844.18     682.03     846.02
10422400      887.27     888.56     888.59     888.32     777.33     680.27     843.08
12506880      792.46     882.03     881.78     881.78     749.73     669.65     836.71
15008256      787.70     881.21     880.61     880.57     732.05     663.61     836.41
